"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"402","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","XBB.1","*","*","*"
"403","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","XBB.1.5","*","*","*"
"404","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","XBC.1.6","*","*","*"
"405","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","FL.1.5.1","*","*","*"
"406","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","DV.7.1","*","*","*"
"407","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","HV.1","*","*","*"
"408","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","HK.3","*","*","*"
"409","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","BA.2.86","*","*","*"
"410","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","EG.5.1","*","*","*"
"411","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","JN.1","*","*","*"
"412","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","KP.2","*","*","*"
"413","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","KP.3","*","*","*"
"414","21-08","beta","n=6","1:2","CO72","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._CO72_D10_1:2_21-08","KZ.1.1.1","*","*","*"
"415","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","Wuhan","*","*","*"
"416","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","Alpha","*","*","*"
"417","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","Beta","*","*","*"
"418","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","Delta","*","*","*"
"419","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BA.1","*","*","*"
"420","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BA.2","*","*","*"
"421","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BA.2.12.1","*","*","*"
"422","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BA.5","*","*","*"
"423","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BQ.1.1","*","*","*"
"424","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","CH.1.1","*","*","*"
"425","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","XBB.1","*","*","*"
"426","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","XBB.1.5","*","*","*"
"427","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","XBC.1.6","*","*","*"
"428","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","FL.1.5.1","*","*","*"
"429","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","DV.7.1","*","*","*"
"430","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","HV.1","*","*","*"
"431","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","HK.3","*","*","*"
"432","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","BA.2.86","*","*","*"
"433","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","EG.5.1","*","*","*"
"434","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","JN.1","*","*","*"
"435","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","KP.2","*","*","*"
"436","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","KP.3","*","*","*"
"437","21-08","beta","n=6","1:2","7138","D10","beta conv.","beta conv.:D10","beta conv.:1:2","beta conv._7138_D10_1:2_21-08","KZ.1.1.1","*","*","*"
"438","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","Wuhan","23.7459754511186","23.7459754511186","23.7459754511186"
"439","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","Alpha","72.460228770900301","72.460228770900301","72.460228770900301"
"440","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","Beta","48.01","48.01","48.01"
"441","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","Delta","38.457211612271699","38.457211612271699","38.457211612271699"
"442","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BA.1","1.9828255996419599","1.9828255996419599","<20"
"443","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BA.2","14.294967879528199","14.294967879528199","<20"
"444","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BA.2.12.1","2.4962270779267399","2.4962270779267399","<20"
"445","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BA.5","5.0641232345593901","5.0641232345593901","<20"
"446","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BQ.1.1","1.85824900035647","1.85824900035647","<20"
"447","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","CH.1.1","11.0892793986078","11.0892793986078","<20"
"448","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","XBB.1","14.1333813787866","14.1333813787866","<20"
"449","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","XBB.1.5","5.3809621739975801","5.3809621739975801","<20"
"450","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","XBC.1.6","17.7397135036937","17.7397135036937","<20"
"451","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","FL.1.5.1","15.967754405365801","15.967754405365801","<20"
"452","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","DV.7.1","8.0215150831210202","8.0215150831210202","<20"
"453","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","HV.1","17.258056965539001","17.258056965539001","<20"
"454","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","HK.3","16.0061732295352","16.0061732295352","<20"
"455","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","BA.2.86","*","*","*"
"456","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","EG.5.1","16.1711767625895","16.1711767625895","<20"
"457","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","JN.1","*","*","*"
"458","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","KP.2","*","*","*"
"459","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","KP.3","*","*","*"
"460","21-08","beta","n=6","4.8611111111111112E-2","CO97","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO97_D10_4.8611111111111112E-2_21-08","KZ.1.1.1","*","*","*"
"461","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","Wuhan","22.6968565387639","22.6968565387639","22.6968565387639"
"462","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","Alpha","61.969010887296697","61.969010887296697","61.969010887296697"
"463","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","Beta","52.720276031668099","52.720276031668099","52.720276031668099"
"464","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","Delta","26.646591310858302","26.646591310858302","26.646591310858302"
"465","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BA.1","16.716383234880102","16.716383234880102","<20"
"466","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BA.2","18.074116327330898","18.074116327330898","<20"
"467","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BA.2.12.1","18.770122580793601","18.770122580793601","<20"
"468","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BA.5","18.4996054711665","18.4996054711665","<20"
"469","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BQ.1.1","17.016250230782902","17.016250230782902","<20"
"470","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","CH.1.1","16.0716590248059","16.0716590248059","<20"
"471","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","XBB.1","24.225634180840601","24.225634180840601","24.225634180840601"
"472","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","XBB.1.5","17.874432497654901","17.874432497654901","<20"
"473","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","XBC.1.6","18.8624346758562","18.8624346758562","<20"
"474","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","FL.1.5.1","18.406410630586699","18.406410630586699","<20"
"475","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","DV.7.1","16.890149810074199","16.890149810074199","<20"
"476","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","HV.1","17.975889444665","17.975889444665","<20"
"477","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","HK.3","17.649521578288201","17.649521578288201","<20"
"478","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","BA.2.86","*","*","*"
"479","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","EG.5.1","17.449802637648901","17.449802637648901","<20"
"480","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","JN.1","*","*","*"
"481","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","KP.2","*","*","*"
"482","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","KP.3","*","*","*"
"483","21-08","beta","n=6","4.8611111111111112E-2","CO99","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._CO99_D10_4.8611111111111112E-2_21-08","KZ.1.1.1","*","*","*"
"484","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","Wuhan","21.480425434261502","21.480425434261502","21.480425434261502"
"485","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","Alpha","51.218200998951403","51.218200998951403","51.218200998951403"
"486","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","Beta","35.108504507348101","35.108504507348101","35.108504507348101"
"487","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","Delta","30.7426959772584","30.7426959772584","30.7426959772584"
"488","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BA.1","18.531258165952998","18.531258165952998","<20"
"489","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BA.2","15.635638947913","15.635638947913","<20"
"490","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BA.2.12.1","13.127156104379299","13.127156104379299","<20"
"491","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BA.5","19.783284327286999","19.783284327286999","<20"
"492","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BQ.1.1","20.272018300724199","20.272018300724199","20.272018300724199"
"493","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","CH.1.1","18.060064468115499","18.060064468115499","<20"
"494","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","XBB.1","39.466088007102002","39.466088007102002","39.466088007102002"
"495","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","XBB.1.5","17.6083271849464","17.6083271849464","<20"
"496","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","XBC.1.6","15.384262855195599","15.384262855195599","<20"
"497","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","FL.1.5.1","14.657866843535","14.657866843535","<20"
"498","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","DV.7.1","20.845934389543199","20.845934389543199","20.845934389543199"
"499","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","HV.1","15.0536766538479","15.0536766538479","<20"
"500","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","HK.3","12.8247759917877","12.8247759917877","<20"
"501","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","BA.2.86","*","*","*"
"502","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","EG.5.1","18.4788707468621","18.4788707468621","<20"
"503","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","JN.1","*","*","*"
"504","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","KP.2","*","*","*"
"505","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","KP.3","*","*","*"
"506","21-08","beta","n=6","4.8611111111111112E-2","7142","D10","beta conv.","beta conv.:D10","beta conv.:4.8611111111111112E-2","beta conv._7142_D10_4.8611111111111112E-2_21-08","KZ.1.1.1","*","*","*"
"507","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","Wuhan","389.67875245004302","389.67875245004302","389.67875245004302"
"508","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","Alpha","1162.13633677132","1162.13633677132","1162.13633677132"
"509","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","Beta","163.999382922065","163.999382922065","163.999382922065"
"510","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","Delta","120.15967856155901","120.15967856155901","120.15967856155901"
"511","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BA.1","1","<1","<20"
"512","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BA.2","1.2788352676075101","1.2788352676075101","<20"
"513","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BA.2.12.1","5.0556260230312704","5.0556260230312704","<20"
"514","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BA.5","1","<1","<20"
"515","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BQ.1.1","26.021078374269699","26.021078374269699","26.021078374269699"
"516","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","CH.1.1","9.8518603510322205","9.8518603510322205","<20"
"517","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","XBB.1","27.016602224700001","27.016602224700001","27.016602224700001"
"518","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","XBB.1.5","16.601169835398601","16.601169835398601","<20"
"519","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","XBC.1.6","11.2124625244942","11.2124625244942","<20"
"520","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","FL.1.5.1","1.2394588324179501","1.2394588324179501","<20"
"521","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","DV.7.1","6.54660448396886","6.54660448396886","<20"
"522","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","HV.1","14.360298110577601","14.360298110577601","<20"
"523","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","HK.3","1.15647611881485","1.15647611881485","<20"
"524","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","BA.2.86","14.18485431","14.18485431","<20"
"525","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","EG.5.1","4.0402096892684796","4.0402096892684796","<20"
"526","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","JN.1","1","<1","<20"
"527","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","KP.2","30.439572773417201","30.439572773417201","30.439572773417201"
"528","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","KP.3","14.746482392199001","14.746482392199001","<20"
"529","21-08","alpha","n=6","1:2","CI67","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CI67_D21_1:2_21-08","KZ.1.1.1","10.0598472785298","10.0598472785298","<20"
"530","21-08","alpha","n=6","1:2","CL31","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CL31_D21_1:2_21-08","Wuhan","103.60369628202299","103.60369628202299","103.60369628202299"
"531","21-08","alpha","n=6","1:2","CL31","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CL31_D21_1:2_21-08","Alpha","703.71108737282998","703.71108737282998","703.71108737282998"
"532","21-08","alpha","n=6","1:2","CL31","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CL31_D21_1:2_21-08","Beta","1","<1","<20"
"533","21-08","alpha","n=6","1:2","CL31","D21","alpha conv.","alpha conv.:D21","alpha conv.:1:2","alpha conv._CL31_D21_1:2_21-08","Delta","23.4071263262746","23.4071263262746","23.4071263262746"
