"","sr_group","ag_name","all_below_thresh","logtiter","lower","upper","titer"
"1","alpha conv.","Alpha",FALSE,4.98107454915929,3.87133729848389,6.1026319504887,"315.829614295893"
"2","alpha conv.","BA.1",FALSE,-0.453497991668882,-18.9083348784579,1.8803223441233,"7.3027007002821"
"3","alpha conv.","BA.2",FALSE,0.75579452497834,-2.9808904662446,2.54882380974837,"16.8856126534174"
"4","alpha conv.","BA.2.12.1",FALSE,-0.636544761897138,-26.4142122075277,2.88621934555691,"6.43251685838937"
"5","alpha conv.","BA.2.86",TRUE,-5.5942914640414,-200.828585879851,-1.70664128266412,"<20"
"6","alpha conv.","BA.5",FALSE,0.261854300008117,-7.82294261301524,2.60133232967986,"11.9901881692123"
"7","alpha conv.","BQ.1.1",FALSE,1.73980317485826,0.0650881927915721,2.99989509669893,"33.3989598865429"
"8","alpha conv.","Beta",FALSE,3.11072470622633,1.07455584891796,4.87793499648482,"86.3816399468151"
"9","alpha conv.","DV.7.1",FALSE,0.812991516020845,-2.55903274677429,2.39881189454354,"17.5685060502946"
"10","alpha conv.","Delta",FALSE,2.99198918896474,1.5670250051614,4.28388090702077,"79.5570173200869"
"11","alpha conv.","EG.5.1",FALSE,1.31470844023603,-1.1749131461982,2.91610092311302,"24.8752054324625"
"12","alpha conv.","FL.1.5.1",FALSE,1.15831841969393,-0.88950414451468,2.62393753399197,"22.3197121248003"
"13","alpha conv.","HK.3",FALSE,0.736041766539155,-2.62918645509087,2.29467271924316,"16.655997607739"
"14","alpha conv.","HV.1",FALSE,-0.533516312203713,-23.5959238598623,2.12900060454056,"6.90868810645769"
"15","alpha conv.","JN.1",TRUE,-5.5942914640414,-197.50833723857,-0.77113741272224,"<20"
"16","alpha conv.","KP.2",FALSE,-0.477980165679959,-19.3656897092705,2.31533835342601,"7.17982126136098"
"17","alpha conv.","KP.3",TRUE,-5.5942914640414,-197.004072552856,-1.39656037420038,"<20"
"18","alpha conv.","KZ.1.1.1",TRUE,-5.5942914640414,-192.993838501829,-1.32221238674729,"<20"
"19","alpha conv.","Wuhan",FALSE,3.86272364665515,2.62475866026011,5.13444522670462,"145.477450897988"
"20","alpha conv.","XBB.1",FALSE,1.86485690267284,0.238568468049659,3.20998047237725,"36.4231804399718"
"21","alpha conv.","XBB.1.5",FALSE,1.27278160877646,-0.917895783225122,2.8264436111978,"24.1626989077643"
"22","alpha conv.","XBC.1.6",FALSE,1.14965284221835,-0.7744911285424,2.4955000074622,"22.1860501378421"
"23","BA.1 conv.","Alpha",FALSE,1.10916569269161,0.256462109960111,1.83324672830397,"21.5720860332353"
"24","BA.1 conv.","BA.1",FALSE,4.20371688600882,3.35228612016798,5.07255036796862,"184.265858957237"
"25","BA.1 conv.","BA.2",FALSE,3.3230955432373,2.40430699356639,4.21267358456659,"100.080954103381"
"26","BA.1 conv.","BA.2.12.1",FALSE,2.3143574525738,1.33665485875504,3.18780488458238,"49.7383087532678"
"27","BA.1 conv.","BA.2.86",TRUE,-5.86139317155563,-198.033230972979,-1.52165180701218,"<20"
"28","BA.1 conv.","BA.5",FALSE,0.946943527703029,-0.234203986726664,1.63387275926412,"19.277841535667"
"29","BA.1 conv.","BQ.1.1",FALSE,0.520643589374981,-2.21321412789015,1.5531832335393,"14.3459508125521"
"30","BA.1 conv.","Beta",FALSE,1.88805513733131,0.99782441320473,2.70959381845943,"37.0135916905062"
"31","BA.1 conv.","DV.7.1",FALSE,1.06763354213175,-0.359350728229663,1.89544581096341,"20.9599248195714"
"32","BA.1 conv.","Delta",FALSE,1.87685916666244,1.02353960009481,2.64662174254844,"36.7274610472661"
"33","BA.1 conv.","EG.5.1",FALSE,-0.333139930171164,-9.18818271436454,1.05577476279343,"7.9380693411388"
"34","BA.1 conv.","FL.1.5.1",FALSE,0.0431186015718695,-5.63637414425363,1.63137984819004,"10.3033865257412"
"35","BA.1 conv.","HK.3",FALSE,-0.868042082870012,-22.4047591382234,0.654961522913464,"5.47889901249053"
"36","BA.1 conv.","HV.1",FALSE,-0.957182418814636,-23.4987180952433,0.706767076916685,"5.15061846682582"
"37","BA.1 conv.","JN.1",TRUE,-5.86139317155563,-196.885776625738,-1.48303295634457,"<20"
"38","BA.1 conv.","KP.2",FALSE,-5.82856541839139,-197.662717152225,-2.28201503757195,"0.175965276948575"
"39","BA.1 conv.","KP.3",FALSE,-5.82856541839139,-198.048672297561,-2.17246267352688,"0.175965276948575"
"40","BA.1 conv.","KZ.1.1.1",FALSE,-5.82856541839139,-198.211561834264,-1.77091089629397,"0.175965276948575"
"41","BA.1 conv.","Wuhan",FALSE,0.821994325368288,-1.09867866398791,1.68011198062137,"17.6784810853952"
"42","BA.1 conv.","XBB.1",FALSE,0.0954149385507718,-5.56565879440075,1.55865693482896,"10.6837264224398"
"43","BA.1 conv.","XBB.1.5",FALSE,-0.492408525691818,-10.586424978941,1.24611308468651,"7.10837390083146"
"44","BA.1 conv.","XBC.1.6",FALSE,0.469181254958798,-2.34357904529075,1.54352924319461,"13.8432362651307"
"45","BA.2.12.1 conv.","Alpha",FALSE,1.12961293653111,-1.16719505869509,3.6134214111842,"21.8800030089563"
"46","BA.2.12.1 conv.","BA.1",FALSE,0.773564814449127,-4.28714408286516,4.19571641948841,"17.0948861479966"
"47","BA.2.12.1 conv.","BA.2",FALSE,2.03945001097698,-0.359209911087863,4.37227024214603,"41.1088784147017"
"48","BA.2.12.1 conv.","BA.2.12.1",FALSE,1.94279408451556,-0.358496579476488,4.36935194368198,"38.4449495063855"
