"","sr_group","ag_name","all_below_thresh","logtiter","lower","upper","titer"
"1","alpha conv.","Alpha",FALSE,5.77078575889477,4.612565407766,6.84962755717333,"545.983617866595"
"2","alpha conv.","BA.1",FALSE,-0.453497991668882,-19.7649216366835,2.09797829525742,"7.3027007002821"
"3","alpha conv.","BA.2",FALSE,0.75579452497834,-3.26731789973233,2.82137797769737,"16.8856126534174"
"4","alpha conv.","BA.2.12.1",FALSE,-0.636544761897138,-24.6258044586339,2.91696387196182,"6.43251685838937"
"5","alpha conv.","BA.2.86",TRUE,-5.5942914640414,-201.298678762204,-1.71949816217612,"<20"
"6","alpha conv.","BA.5",FALSE,0.261854300008117,-7.42232663973169,2.55237570641208,"11.9901881692123"
"7","alpha conv.","BQ.1.1",FALSE,1.73980317485826,0.19048191346369,3.03962509946126,"33.3989598865429"
"8","alpha conv.","Beta",FALSE,3.11072470622633,1.04049130235308,4.83437328359312,"86.3816399468151"
"9","alpha conv.","CH.1.1",FALSE,1.37924919500174,-1.07741959011351,2.91488309724544,"26.0132957886358"
"10","alpha conv.","DV.7.1",FALSE,0.812991516020845,-2.57923608440126,2.37453387467811,"17.5685060502946"
"11","alpha conv.","Delta",FALSE,2.99198918896474,1.69041733726018,4.36476225419664,"79.5570173200869"
"12","alpha conv.","EG.5.1",FALSE,1.31470844023603,-1.15194617735825,2.94986677954953,"24.8752054324625"
"13","alpha conv.","FL.1.5.1",FALSE,1.15831841969393,-0.958084730181767,2.52102876917547,"22.3197121248003"
"14","alpha conv.","HK.3",FALSE,0.736041766539155,-2.62518497870361,2.3907216498283,"16.655997607739"
"15","alpha conv.","HV.1",FALSE,-0.533516312203713,-21.638452870955,2.59798578592351,"6.90868810645769"
"16","alpha conv.","JN.1",TRUE,-5.5942914640414,-202.629253139008,-1.42596172834248,"<20"
"17","alpha conv.","KP.2",FALSE,-0.477980165679959,-22.1868589680433,2.73052834708982,"7.17982126136098"
"18","alpha conv.","KP.3",TRUE,-5.5942914640414,-198.654872353343,-1.17998018559799,"<20"
"19","alpha conv.","KZ.1.1.1",TRUE,-5.5942914640414,-197.166796577019,-1.43560871377116,"<20"
"20","alpha conv.","Wuhan",FALSE,3.86272364665515,2.60524428426603,5.11476169965643,"145.477450897988"
"21","alpha conv.","XBB.1",FALSE,1.86485690267284,0.228513178780446,3.28843537609621,"36.4231804399718"
"22","alpha conv.","XBB.1.5",FALSE,1.27278160877646,-0.924857229740245,2.92080844433842,"24.1626989077643"
"23","alpha conv.","XBC.1.6",FALSE,1.14965284221835,-0.805943802660125,2.47015731770629,"22.1860501378421"
"24","BA.1 conv.","Alpha",FALSE,1.89887973431956,1.07544605341555,2.64825044194953,"37.2923505697785"
"25","BA.1 conv.","BA.1",FALSE,4.20371688600882,3.3918629967095,5.09465531286811,"184.265858957237"
"26","BA.1 conv.","BA.2",FALSE,3.3230955432373,2.42313459527838,4.22105787944958,"100.080954103381"
"27","BA.1 conv.","BA.2.12.1",FALSE,2.3143574525738,1.38292572161022,3.21516136729352,"49.7383087532678"
"28","BA.1 conv.","BA.2.86",TRUE,-5.86139317155563,-197.267095072446,-2.84545126453694,"<20"
"29","BA.1 conv.","BA.5",FALSE,0.946943527703029,-0.21380630003294,1.61410099743444,"19.277841535667"
"30","BA.1 conv.","BQ.1.1",FALSE,0.520643589374981,-2.27124845742303,1.49978569179958,"14.3459508125521"
"31","BA.1 conv.","Beta",FALSE,1.88805513733131,0.976620251327291,2.70077802557742,"37.0135916905062"
"32","BA.1 conv.","CH.1.1",FALSE,0.237192458388724,-3.94875679633011,1.20436748651651,"11.7869663780057"
"33","BA.1 conv.","DV.7.1",FALSE,1.06763354213175,-0.325027303582119,1.8972791070646,"20.9599248195714"
"34","BA.1 conv.","Delta",FALSE,1.87685916666244,1.05166558152717,2.634510517875,"36.7274610472661"
"35","BA.1 conv.","EG.5.1",FALSE,-0.333139930171164,-10.213318188049,1.20766672898526,"7.9380693411388"
"36","BA.1 conv.","FL.1.5.1",FALSE,0.0431186015718695,-5.65931079141548,1.55912015574881,"10.3033865257412"
"37","BA.1 conv.","HK.3",FALSE,-0.868042082870012,-21.2574352058226,0.817643435322852,"5.47889901249053"
"38","BA.1 conv.","HV.1",FALSE,-0.957182418814636,-22.362068908338,0.796552113948797,"5.15061846682582"
"39","BA.1 conv.","JN.1",TRUE,-5.86139317155563,-199.797290807566,-1.70278805155019,"<20"
"40","BA.1 conv.","KP.2",FALSE,-5.82856541839139,-195.784872488352,-1.79517521032965,"0.175965276948575"
"41","BA.1 conv.","KP.3",FALSE,-5.82856541839139,-195.367639260203,-1.66613501734993,"0.175965276948575"
"42","BA.1 conv.","KZ.1.1.1",FALSE,-5.82856541839139,-198.704949884365,-2.58059058082933,"0.175965276948575"
"43","BA.1 conv.","Wuhan",FALSE,0.821994325368288,-1.00364238860562,1.7770232786167,"17.6784810853952"
"44","BA.1 conv.","XBB.1",FALSE,0.0954149385507718,-5.51114217312865,1.6072056651689,"10.6837264224398"
"45","BA.1 conv.","XBB.1.5",FALSE,-0.492408525691818,-11.0754040862852,1.17283210481278,"7.10837390083146"
"46","BA.1 conv.","XBC.1.6",FALSE,0.469181254958798,-2.42472757298306,1.5326484953773,"13.8432362651307"
"47","BA.2.12.1 conv.","Alpha",FALSE,1.91931494848006,-0.331849989597355,4.2115146946321,"37.8243410361839"
"48","BA.2.12.1 conv.","BA.1",FALSE,0.773564814449127,-4.29895543630434,3.99308226912708,"17.0948861479966"
