Antigen,Name
D614G,Wuhan
B.1.1.7+E484K,Alpha+E484K
B.1.1.7,Alpha
B.1.617.2,Delta
P.1,Gamma
P.1.1,Gamma
B.1.351,Beta
BA.1,BA.1
BA.2,BA.2
CB.1,CB.1
BR.3,BR.3
BA.5.3.2,BA.5
BA.5.2.1,BA.5.2.1
BQ.1.1,BQ.1.1
CH.1.1,CH.1.1
XBB.1,XBB.1
XBB.1.5,XBB.1.5
BE.1.1,BE.1.1
BF.7,BF.7
BQ.1.3,BQ.1.3
BQ.1.18,BQ.1.18
XBF,XBF
BA.4/BA.5,BA.5
